"","publisher","id","owners","name","release_date","categories","price","user_rating","expert_rating","game_mode","d_publisher"
"186","Blue Bottle Games",248860,940000,"NEO Scavenger",2014,"Single-player",11.39,0.9,0.77,1,0
"187","Blue Isle Studios",252330,1900000,"Slender: The Arrival",2013,"Single-player",6.99,0.89,0.65,1,0
"188","Blue Manchu",293260,1900000,"Card Hunter",2015,"Single-player Multi-player   Multiplayer",0,0.86,0.8,0,0
"189","Bohemia Interactive",33900,1600000,"Arma 2",2009,"Single-player Multi-player",7.99,0.83,0.77,0,1
"190","Bohemia Interactive",33930,6800000,"Arma 2: Operation Arrowhead",2010,"Single-player Multi-player",11.99,0.92,0.73,0,1
"191","Bohemia Interactive",244030,640000,"Take On Mars",2017,"Single-player Multi-player",20.99,0.56,0.62,0,1
"192","Bohemia Interactive",107410,7700000,"Arma 3",2013,"Single-player Multi-player Online Multi-Player Local Multi-Player   Local",29.99,0.89,0.74,0,1
"193","Born Ready Games",209540,1500000,"Strike Suit Zero",2013,"Single-player",14.99,0.78,0.66,1,0
"194","Bossa Studios",233720,5300000,"Surgeon Simulator",2013,"Single-player",6.99,0.82,0.71,1,0
"195","Bossa Studios",327890,2400000,"I am Bread",2015,"Single-player",9.99,0.78,0.6,1,0
"196","Brace Yourself Games;Klei Entertainment",247080,2900000,"Crypt of the NecroDancer",2015,"Single-player Local",10.99,0.96,0.87,0,0
"197","Broken Rules",18700,2e+06,"And Yet It Moves",2009,"Single-player",6.99,0.69,0.75,1,0
"198","Butterscotch Shenanigans",391730,750000,"Crashlands",2016,"Single-player Local Multi-Player  Local",11.39,0.87,0.78,0,0
"199","Capcom",220440,4e+06,"DmC: Devil May Cry",2013,"Single-player",23.99,0.94,0.85,1,1
"200","Capcom",235210,3400000,"STRIDER™ / ストライダー飛竜®",2014,"Single-player",11.99,0.84,0.78,1,1
"201","Capcom",310950,2600000,"Street Fighter V",2016,"Single-player Multi-player  Multiplayer",15.99,0.49,0.89,0,1
"202","Capcom",221040,3900000,"Resident Evil 6 / Biohazard 6",2013,"Single-player Multi-player",19.99,0.79,0.69,0,1
"203","Capcom",21690,4300000,"Resident Evil™ 5/ Biohazard 5®",2009,"Single-player Multi-player",13.99,0.85,0.86,0,1
"204","Capcom",363440,2200000,"Mega Man Legacy Collection / ロックマン クラシックス コレクション",2015,"Single-player",11.99,0.81,0.85,1,1
"205","Capcom",222480,3700000,"Resident Evil Revelations / Biohazard Revelations",2013,"Single-player",23.99,0.84,0.77,1,1
"206","Capcom",45770,2200000,"Dead Rising 2: Off the Record",2011,"Single-player",14.99,0.79,0.66,1,1
"207","Capcom",6550,850000,"Devil May Cry® 3 Special Edition",2007,"Single-player",15.99,0.58,0.66,1,1
"208","Capcom",237630,1500000,"DuckTales: Remastered",2013,"Single-player",11.99,0.86,0.66,1,1
"209","Capcom",228300,3e+06,"Remember Me",2013,"Single-player",22.99,0.83,0.65,1,1
"210","Capcom",45700,930000,"Devil May Cry 4",2009,"Single-player",15.99,0.92,0.78,1,1
"211","Capcom",543460,2e+06,"Dead Rising 4",2017,"Single-player Online Multi-Player",19.99,0.47,0.74,0,1
"212","Capcom",367500,3e+06,"Dragon's Dogma: Dark Arisen",2016,"Single-player",23.99,0.88,0.81,1,1
"213","Capcom",45750,790000,"Lost Planet® 2",2010,"Single-player Multi-player",12.99,0.66,0.63,0,1
"214","Capcom",254700,3700000,"resident evil 4 / biohazard 4",2014,"Single-player",14.99,0.84,0.79,1,1
"215","Capcom",45740,3100000,"Dead Rising® 2",2010,"Single-player Multi-player",14.99,0.74,0.78,0,1
"216","Capcom Co. Ltd",209100,710000,"Resident Evil: Operation Raccoon City",2012,"Single-player Multi-player",22.99,0.52,0.48,0,1
"217","CAPCOM Co., Ltd.",883710,2800000,"RESIDENT EVIL 2 / BIOHAZARD RE:2",2019,"Single-player",44.99,0.96,0.89,1,1
"218","CAPCOM Co., Ltd.",582010,5500000,"MONSTER HUNTER: WORLD",2018,"Single-player Multi-player",49.99,0.67,0.88,0,1
"219","CAPCOM Co., Ltd.",418370,2400000,"RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil",2017,"Single-player",19.99,0.92,0.83,1,1
"220","CAPCOM Co., Ltd.",587620,2e+06,"OKAMI HD / 大神 絶景版",2017,"Single-player",15.99,0.92,0.92,1,1
"221","CAPCOM Co., Ltd.",601150,1800000,"Devil May Cry 5",2019,"Single-player Online Multi-Player",44.99,0.92,0.89,0,1
"222","CAPCOM Co., Ltd.",304240,2600000,"Resident Evil / biohazard HD REMASTER",2015,"Single-player",15.99,0.91,0.82,1,1
"223","Capcom U.S.A., Inc.",209120,870000,"Street Fighter X Tekken",2012,"Single-player Multi-player",22.99,0.55,0.79,0,1
"224","Capybara Games",204060,2600000,"Superbrothers: Sword & Sworcery EP",2012,"Single-player",4.99,0.78,0.83,1,0
"225","Carlsen Games",242820,1800000,"140",2013,"Single-player",3.99,0.93,0.8,1,0
